Dates,D,InverseBook,,,,
2007-12-28 ,16:00:00 ,-0.192748005144318,,,,
2007-12-31 ,16:00:00 ,0.236470844553554,,,,
2008-01-02 ,16:00:00 ,-0.661698889912066,,,,
2008-01-03 ,16:00:00 ,-0.726725130948924,,,,
2008-01-04 ,16:00:00 ,-0.281208145485202,,,,
2008-01-07 ,16:00:00 ,-1.21691218774673,,,,
2008-01-08 ,16:00:00 ,-0.681114560729727,,,,
2008-01-09 ,16:00:00 ,0.678988149713033,,,,
2008-01-10 ,16:00:00 ,0.142287126511739,,,,
2008-01-11 ,16:00:00 ,0.0469177095210176,,,,
2008-01-14 ,16:00:00 ,-1.80951225104505,,,,
2008-01-15 ,16:00:00 ,0.720041900231866,,,,
2008-01-16 ,16:00:00 ,-0.772994881626787,,,,
2008-01-17 ,16:00:00 ,-0.379735285461452,,,,
2008-01-18 ,16:00:00 ,1.69500552713601,,,,
2008-01-22 ,16:00:00 ,1.17042509401368,,,,
2008-01-23 ,16:00:00 ,-1.16563272300722,,,,
2008-01-24 ,16:00:00 ,-0.524219277932769,,,,
2008-01-25 ,16:00:00 ,1.16413572051758,,,,
2008-01-28 ,16:00:00 ,0.031272493844721,,,,
2008-01-29 ,16:00:00 ,-0.920502277060948,,,,
2008-01-30 ,16:00:00 ,-1.06667144120154,,,,
2008-01-31 ,16:00:00 ,0.405090717960119,,,,
2008-02-01 ,16:00:00 ,0.519163089597044,,,,
2008-02-04 ,16:00:00 ,0.406350203950873,,,,
2008-02-05 ,16:00:00 ,-0.238886230498051,,,,
2008-02-06 ,16:00:00 ,-0.867997966096925,,,,
2008-02-07 ,16:00:00 ,-0.535559794735717,,,,
2008-02-08 ,16:00:00 ,0.0513307801019701,,,,
2008-02-11 ,16:00:00 ,1.40925364399985,,,,
2008-02-12 ,16:00:00 ,1.88035689866402,,,,
2008-02-13 ,16:00:00 ,-0.483475643572929,,,,
2008-02-14 ,16:00:00 ,0.917781604415499,,,,
2008-02-15 ,16:00:00 ,-1.20763232354611,,,,
2008-02-19 ,16:00:00 ,-0.345813567007593,,,,
2008-02-20 ,16:00:00 ,-0.558548430701603,,,,
2008-02-21 ,16:00:00 ,0.0195351698761486,,,,
2008-02-22 ,16:00:00 ,0.350557469008308,,,,
2008-02-25 ,16:00:00 ,-0.546167277813302,,,,
2008-02-26 ,16:00:00 ,0.158955207111127,,,,
2008-02-27 ,16:00:00 ,0.463251460878657,,,,
2008-02-28 ,16:00:00 ,0.562095732787398,,,,
2008-02-29 ,16:00:00 ,0.061494499637057,,,,
2008-03-03 ,16:00:00 ,-0.207501368166866,,,,
2008-03-04 ,16:00:00 ,-0.173977099619183,,,,
2008-03-05 ,16:00:00 ,0.516179079867524,,,,
2008-03-06 ,16:00:00 ,0.135438037889108,,,,
2008-03-07 ,16:00:00 ,-0.000753480197705424,,,,
2008-03-10 ,16:00:00 ,-0.355726771116587,,,,
2008-03-11 ,16:00:00 ,-0.136544244195688,,,,
2008-03-12 ,16:00:00 ,-0.20654529300543,,,,
2008-03-13 ,16:00:00 ,1.02196197615235,,,,
2008-03-14 ,16:00:00 ,0.57351192820736,,,,
2008-03-17 ,16:00:00 ,-0.153105161817465,,,,
2008-03-18 ,16:00:00 ,-0.53191995517721,,,,
2008-03-19 ,16:00:00 ,-0.0610241910815581,,,,
2008-03-20 ,16:00:00 ,-0.549687426504296,,,,
2008-03-24 ,16:00:00 ,-0.402380771854298,,,,
2008-03-25 ,16:00:00 ,1.46637688293815,,,,
2008-03-26 ,16:00:00 ,0.557418909485415,,,,
2008-03-27 ,16:00:00 ,0.233382088942153,,,,
2008-03-28 ,16:00:00 ,-0.440728269327168,,,,
2008-03-31 ,16:00:00 ,-0.410909327621428,,,,
2008-04-01 ,16:00:00 ,-0.107199868415726,,,,
2008-04-02 ,16:00:00 ,-0.376777893562643,,,,
2008-04-03 ,16:00:00 ,0.146937802102113,,,,
2008-04-04 ,16:00:00 ,0.581239219588584,,,,
2008-04-07 ,16:00:00 ,0.655918939900606,,,,
2008-04-08 ,16:00:00 ,-0.48936018990035,,,,
2008-04-09 ,16:00:00 ,0.363221454631869,,,,
2008-04-10 ,16:00:00 ,-0.257657647084696,,,,
2008-04-11 ,16:00:00 ,0.98194162696217,,,,
2008-04-14 ,16:00:00 ,-0.790308816924039,,,,
2008-04-15 ,16:00:00 ,0.320753720539504,,,,
2008-04-16 ,16:00:00 ,-0.413430771982551,,,,
2008-04-17 ,16:00:00 ,-0.716973164241878,,,,
2008-04-18 ,16:00:00 ,-0.454810781856805,,,,
2008-04-21 ,16:00:00 ,0.600150449267401,,,,
2008-04-22 ,16:00:00 ,1.01941666456397,,,,
2008-04-23 ,16:00:00 ,-0.911477029796366,,,,
2008-04-24 ,16:00:00 ,0.906899936815239,,,,
2008-04-25 ,16:00:00 ,0.395143453767028,,,,
2008-04-28 ,16:00:00 ,-0.405235093779702,,,,
2008-04-29 ,16:00:00 ,0.0940819065955949,,,,
2008-04-30 ,16:00:00 ,0.609015592141264,,,,
2008-05-01 ,16:00:00 ,-0.285599310362058,,,,
2008-05-02 ,16:00:00 ,0.767862856027029,,,,
2008-05-05 ,16:00:00 ,-0.53814239880713,,,,
2008-05-06 ,16:00:00 ,-0.0248331360875324,,,,
2008-05-07 ,16:00:00 ,0.395253721582071,,,,
2008-05-08 ,16:00:00 ,0.0808847698184475,,,,
2008-05-09 ,16:00:00 ,0.123499255534723,,,,
2008-05-12 ,16:00:00 ,0.539869239825296,,,,
2008-05-13 ,16:00:00 ,-0.0130472891224904,,,,
2008-05-14 ,16:00:00 ,0.43478756325682,,,,
2008-05-15 ,16:00:00 ,0.0635505097171714,,,,
2008-05-16 ,16:00:00 ,0.476731778849352,,,,
2008-05-19 ,16:00:00 ,-0.619395073295506,,,,
2008-05-20 ,16:00:00 ,-0.638643317568185,,,,
2008-05-21 ,16:00:00 ,-0.31563241126564,,,,
2008-05-22 ,16:00:00 ,-0.0923932465072501,,,,
2008-05-23 ,16:00:00 ,0.299312846932169,,,,
2008-05-27 ,16:00:00 ,0.144476433052048,,,,
2008-05-28 ,16:00:00 ,0.390412738256622,,,,
2008-05-29 ,16:00:00 ,0.617609925181546,,,,
2008-05-30 ,16:00:00 ,0.517540381795436,,,,
2008-06-02 ,16:00:00 ,0.498797481115826,,,,
2008-06-03 ,16:00:00 ,-0.300298602141784,,,,
2008-06-04 ,16:00:00 ,0.498818877256567,,,,
2008-06-05 ,16:00:00 ,0.967091106637431,,,,
2008-06-06 ,16:00:00 ,0.383218841394038,,,,
2008-06-09 ,16:00:00 ,-1.73981253176607,,,,
2008-06-10 ,16:00:00 ,2.06128824355369,,,,
2008-06-11 ,16:00:00 ,-0.384351132145366,,,,
2008-06-12 ,16:00:00 ,-0.430749883629935,,,,
2008-06-13 ,16:00:00 ,-0.00462305714967041,,,,
2008-06-16 ,16:00:00 ,0.616221806439335,,,,
2008-06-17 ,16:00:00 ,0.252568558558984,,,,
2008-06-18 ,16:00:00 ,0.805190819120316,,,,
2008-06-19 ,16:00:00 ,-0.107422114545742,,,,
2008-06-20 ,16:00:00 ,1.20170920104449,,,,
2008-06-23 ,16:00:00 ,-1.38690690574146,,,,
2008-06-24 ,16:00:00 ,-0.435680209407257,,,,
2008-06-25 ,16:00:00 ,-0.738096390945418,,,,
2008-06-26 ,16:00:00 ,1.02798883680002,,,,
2008-06-27 ,16:00:00 ,-0.765372548058561,,,,
2008-06-30 ,16:00:00 ,-0.0144219625655949,,,,
2008-07-01 ,16:00:00 ,-0.263933149145964,,,,
2008-07-02 ,16:00:00 ,0.516600584379231,,,,
2008-07-03 ,16:00:00 ,-0.488504864231954,,,,
2008-07-07 ,16:00:00 ,-0.692108510661873,,,,
2008-07-08 ,16:00:00 ,1.20199657103752,,,,
2008-07-09 ,16:00:00 ,-0.638481915203544,,,,
