Date,16:00:00 ,FrenchGrowth,,,,
2008-02-28 ,16:00:00 ,0,,,,
2008-02-29 ,16:00:00 ,0,,,,
2008-03-03 ,16:00:00 ,-0.0666879150268161,,,,
2008-03-04 ,16:00:00 ,-0.407903139273644,,,,
2008-03-05 ,16:00:00 ,0.417063445013849,,,,
2008-03-06 ,16:00:00 ,1.2900157422012,,,,
2008-03-07 ,16:00:00 ,-4.98272892352311,,,,
2008-03-10 ,16:00:00 ,-1.58913857055047,,,,
2008-03-11 ,16:00:00 ,0,,,,
2008-03-12 ,16:00:00 ,0,,,,
2008-03-13 ,16:00:00 ,0,,,,
2008-03-14 ,16:00:00 ,0,,,,
2008-03-17 ,16:00:00 ,0,,,,
2008-03-18 ,16:00:00 ,0,,,,
2008-03-19 ,16:00:00 ,0,,,,
2008-03-20 ,16:00:00 ,0,,,,
2008-03-24 ,16:00:00 ,0,,,,
2008-03-25 ,16:00:00 ,0,,,,
2008-03-26 ,16:00:00 ,0,,,,
2008-03-27 ,16:00:00 ,0,,,,
2008-03-28 ,16:00:00 ,0,,,,
2008-03-31 ,16:00:00 ,0,,,,
2008-04-01 ,16:00:00 ,-0.0684032399155211,,,,
2008-04-02 ,16:00:00 ,4.06223079916977,,,,
2008-04-03 ,16:00:00 ,0.388095615998223,,,,
2008-04-04 ,16:00:00 ,0,,,,
2008-04-07 ,16:00:00 ,0,,,,
2008-04-08 ,16:00:00 ,0,,,,
2008-04-09 ,16:00:00 ,0,,,,
2008-04-10 ,16:00:00 ,0,,,,
2008-04-11 ,16:00:00 ,0,,,,
2008-04-14 ,16:00:00 ,0,,,,
2008-04-15 ,16:00:00 ,0,,,,
2008-04-16 ,16:00:00 ,0,,,,
2008-04-17 ,16:00:00 ,0,,,,
2008-04-18 ,16:00:00 ,0,,,,
2008-04-21 ,16:00:00 ,0,,,,
2008-04-22 ,16:00:00 ,0,,,,
2008-04-23 ,16:00:00 ,0,,,,
2008-04-24 ,16:00:00 ,0,,,,
2008-04-25 ,16:00:00 ,0,,,,
2008-04-28 ,16:00:00 ,0,,,,
2008-04-29 ,16:00:00 ,0,,,,
2008-04-30 ,16:00:00 ,0,,,,
2008-05-01 ,16:00:00 ,-0.0659897052654507,,,,
2008-05-02 ,16:00:00 ,4.24187839410487,,,,
2008-05-05 ,16:00:00 ,-0.0570106292307955,,,,
2008-05-06 ,16:00:00 ,0.554840613216234,,,,
2008-05-07 ,16:00:00 ,1.87145132703658,,,,
2008-05-08 ,16:00:00 ,-3.04130364737258,,,,
2008-05-09 ,16:00:00 ,0.591895903045701,,,,
2008-05-12 ,16:00:00 ,-0.440829554433984,,,,
2008-05-13 ,16:00:00 ,1.89016756156362,,,,
2008-05-14 ,16:00:00 ,0.569080998432909,,,,
2008-05-15 ,16:00:00 ,1.1413105168027,,,,
2008-05-16 ,16:00:00 ,2.88974011170303,,,,
2008-05-19 ,16:00:00 ,-0.0616072700790229,,,,
2008-05-20 ,16:00:00 ,-0.918165748641029,,,,
2008-05-21 ,16:00:00 ,-1.99965054781132,,,,
2008-05-22 ,16:00:00 ,-2.85619414545863,,,,
2008-05-23 ,16:00:00 ,-0.17589143834853,,,,
2008-05-27 ,16:00:00 ,-1.84241347137365,,,,
2008-05-28 ,16:00:00 ,1.11611951968615,,,,
2008-05-29 ,16:00:00 ,1.22051581891027,,,,
2008-05-30 ,16:00:00 ,-0.139500421460771,,,,
2008-06-02 ,16:00:00 ,1.2684927849035,,,,
2008-06-03 ,16:00:00 ,-0.75953227750605,,,,
2008-06-04 ,16:00:00 ,-1.07993205000474,,,,
2008-06-05 ,16:00:00 ,-0.563307058569375,,,,
2008-06-06 ,16:00:00 ,4.92444481574504,,,,
2008-06-09 ,16:00:00 ,-6.09621795174488,,,,
2008-06-10 ,16:00:00 ,4.43804657574981,,,,
2008-06-11 ,16:00:00 ,-2.41985066559698,,,,
2008-06-12 ,16:00:00 ,-1.77991170903063,,,,
2008-06-13 ,16:00:00 ,0.694642045258493,,,,
2008-06-16 ,16:00:00 ,0,,,,
2008-06-17 ,16:00:00 ,0,,,,
2008-06-18 ,16:00:00 ,0,,,,
2008-06-19 ,16:00:00 ,0,,,,
2008-06-20 ,16:00:00 ,0,,,,
2008-06-23 ,16:00:00 ,0,,,,
2008-06-24 ,16:00:00 ,0,,,,
2008-06-25 ,16:00:00 ,0,,,,
2008-06-26 ,16:00:00 ,0,,,,
2008-06-27 ,16:00:00 ,0,,,,
2008-06-30 ,16:00:00 ,0,,,,
2008-07-01 ,16:00:00 ,-0.10494096320295,,,,
2008-07-02 ,16:00:00 ,-0.168412793864453,,,,
2008-07-03 ,16:00:00 ,0.623696917777442,,,,
2008-07-07 ,16:00:00 ,-1.20169810343498,,,,
2008-07-08 ,16:00:00 ,-0.376820777659751,,,,
2008-07-09 ,16:00:00 ,1.07812890486126,,,,
2008-07-10 ,16:00:00 ,-0.413292888768764,,,,
2008-07-11 ,16:00:00 ,0,,,,
2008-07-14 ,16:00:00 ,0,,,,
2008-07-15 ,16:00:00 ,0,,,,
2008-07-16 ,16:00:00 ,0,,,,
2008-07-17 ,16:00:00 ,0,,,,
2008-07-18 ,16:00:00 ,0,,,,
2008-07-21 ,16:00:00 ,0,,,,
2008-07-22 ,16:00:00 ,0,,,,
2008-07-23 ,16:00:00 ,0,,,,
2008-07-24 ,16:00:00 ,0,,,,
2008-07-25 ,16:00:00 ,0,,,,
2008-07-28 ,16:00:00 ,0,,,,
2008-07-29 ,16:00:00 ,0,,,,
2008-07-30 ,16:00:00 ,0,,,,
2008-07-31 ,16:00:00 ,0,,,,
2008-08-01 ,16:00:00 ,-0.0679083168186012,,,,
2008-08-04 ,16:00:00 ,-0.648351163489289,,,,
2008-08-05 ,16:00:00 ,-1.74347085582873,,,,
2008-08-06 ,16:00:00 ,2.53458843276074,,,,
2008-08-07 ,16:00:00 ,0.506709876113377,,,,
2008-08-08 ,16:00:00 ,-1.17672174529155,,,,
2008-08-11 ,16:00:00 ,3.03651473014171,,,,
2008-08-12 ,16:00:00 ,1.26503936322548,,,,
2008-08-13 ,16:00:00 ,-0.291318972352027,,,,
2008-08-14 ,16:00:00 ,0,,,,
2008-08-15 ,16:00:00 ,0,,,,
2008-08-18 ,16:00:00 ,0,,,,
2008-08-19 ,16:00:00 ,0,,,,
2008-08-20 ,16:00:00 ,0,,,,
2008-08-21 ,16:00:00 ,0,,,,
2008-08-22 ,16:00:00 ,0,,,,
2008-08-25 ,16:00:00 ,0,,,,
2008-08-26 ,16:00:00 ,0,,,,
2008-08-27 ,16:00:00 ,0,,,,
2008-08-28 ,16:00:00 ,0,,,,
2008-08-29 ,16:00:00 ,0,,,,
2008-09-02 ,16:00:00 ,-0.0645049047443322,,,,
2008-09-03 ,16:00:00 ,0.435716010147843,,,,
2008-09-04 ,16:00:00 ,-0.730160957102853,,,,
2008-09-05 ,16:00:00 ,-5.11184726955801,,,,
2008-09-08 ,16:00:00 ,-1.55702449435133,,,,
2008-09-09 ,16:00:00 ,0,,,,
2008-09-10 ,16:00:00 ,0,,,,
2008-09-11 ,16:00:00 ,0,,,,
2008-09-12 ,16:00:00 ,0,,,,
2008-09-15 ,16:00:00 ,0,,,,
2008-09-16 ,16:00:00 ,0,,,,
2008-09-17 ,16:00:00 ,0,,,,
2008-09-18 ,16:00:00 ,0,,,,
2008-09-19 ,16:00:00 ,0,,,,
2008-09-22 ,16:00:00 ,0,,,,
2008-09-23 ,16:00:00 ,0,,,,
2008-09-24 ,16:00:00 ,0,,,,
2008-09-25 ,16:00:00 ,0,,,,
2008-09-26 ,16:00:00 ,0,,,,
2008-09-29 ,16:00:00 ,0,,,,
2008-09-30 ,16:00:00 ,0,,,,
2008-10-01 ,16:00:00 ,-0.109758720970296,,,,
2008-10-02 ,16:00:00 ,1.36099523597745,,,,
2008-10-03 ,16:00:00 ,2.28076178492059,,,,
2008-10-06 ,16:00:00 ,-1.67697080494658,,,,
2008-10-07 ,16:00:00 ,0.620944583269363,,,,
2008-10-08 ,16:00:00 ,0.180178494190124,,,,
2008-10-09 ,16:00:00 ,-1.21901980642315,,,,
2008-10-10 ,16:00:00 ,-0.0251540849807847,,,,
2008-10-13 ,16:00:00 ,0.388673682158814,,,,
2008-10-14 ,16:00:00 ,-2.12875693785518,,,,
2008-10-15 ,16:00:00 ,-0.293015236598731,,,,
2008-10-16 ,16:00:00 ,2.5790638302253,,,,
2008-10-17 ,16:00:00 ,-0.037169744128726,,,,
2008-10-20 ,16:00:00 ,-0.200772269968012,,,,
2008-10-21 ,16:00:00 ,-0.940310681614532,,,,
2008-10-22 ,16:00:00 ,0.793207514260637,,,,
2008-10-23 ,16:00:00 ,2.12908944525825,,,,
2008-10-24 ,16:00:00 ,-1.42568318115563,,,,
2008-10-27 ,16:00:00 ,0.349507760600312,,,,
2008-10-28 ,16:00:00 ,1.0552929917077,,,,
2008-10-29 ,16:00:00 ,1.24524612643864,,,,
2008-10-30 ,16:00:00 ,-1.60757257052249,,,,
2008-10-31 ,16:00:00 ,-0.441504163744536,,,,
2008-11-03 ,16:00:00 ,1.05214654851507,,,,
2008-11-04 ,16:00:00 ,-0.309354692372578,,,,
2008-11-05 ,16:00:00 ,-1.57772112010218,,,,
2008-11-06 ,16:00:00 ,1.18941111190314,,,,
2008-11-07 ,16:00:00 ,1.44937797889153,,,,
2008-11-10 ,16:00:00 ,-2.11761408769911,,,,
2008-11-11 ,16:00:00 ,-1.53493441950812,,,,
