,Date,Momentum,BookValue
101,2007-05-30,-0.0125395651119726,-0.0142078587500959
102,2007-05-31,-0.28622431571956797,-0.11703146828939401
103,2007-06-01,-0.0691421155058569,0.0112604716019977
104,2007-06-04,0.0251617095069287,-0.0485163136970536
105,2007-06-05,-0.0598952960347701,-0.00982354481651513
106,2007-06-06,-0.0830899341385147,0.099767943383516
107,2007-06-07,0.122087086142055,0.16790620533478604
108,2007-06-08,0.402154700566961,0.392381664413479
109,2007-06-11,-0.197862346910245,-0.19824602304064395
110,2007-06-12,-0.109315586914081,-0.0911648799933209
111,2007-06-13,0.239478270226066,0.20306901053812898
112,2007-06-14,-0.297944725510874,-0.19682060428618597
113,2007-06-15,-0.171658895018011,-0.0922481916165788
114,2007-06-18,-0.260136329771949,-0.144516955815487
