Date,FamaFrench
2007-08-20 ,0.806426267820399
2007-08-21 ,0.767750205005273
2007-08-22 ,0.860265048490393
2007-08-23 ,0.918736882038774
2007-08-24 ,-0.692330768213665
2007-08-27 ,0.94402129347606
2007-08-28 ,-0.970600448391684
2007-08-29 ,-0.814639633410188
2007-08-30 ,0.553617327052057
2007-08-31 ,-0.179699330050188
2007-09-04 ,0.364944328255518
2007-09-05 ,-0.198883519715525
2007-09-06 ,-0.507327408746341
2007-09-07 ,-0.328510469198018
2007-09-10 ,-1.15769415633461
2007-09-11 ,-1.23635110020416
2007-09-12 ,0.261149599115099
2007-09-13 ,-0.232849682492365
2007-09-14 ,0.392636555105042
2007-09-17 ,0.747270608512637
2007-09-18 ,0.0862748025522092
2007-09-19 ,1.97558103859887
2007-09-20 ,0.793998566686506
