Dates,BookValue,,,,
2007-10-26 ,1.41619389543001,,,,
2007-10-29 ,0.253257126212869,,,,
2007-10-30 ,-0.34871936790918,,,,
2007-10-31 ,-0.861557674296749,,,,
2007-11-01 ,-1.15934443098165,,,,
2007-11-02 ,-0.281732053378135,,,,
2007-11-05 ,-0.755075911092932,,,,
2007-11-06 ,1.16839610243336,,,,
2007-11-07 ,0.146917528506648,,,,
2007-11-08 ,-0.319834174499792,,,,
2007-11-09 ,1.53336578782969,,,,
2007-11-12 ,1.22875100975049,,,,
2007-11-13 ,0.937766611630936,,,,
2007-11-14 ,0.0113126272002721,,,,
2007-11-15 ,-0.477589969452335,,,,
2007-11-16 ,-0.852514613257686,,,,
2007-11-19 ,-0.749040941018719,,,,
2007-11-20 ,0.176319427843266,,,,
2007-11-21 ,-0.197586414183927,,,,
2007-11-23 ,0.145025827511078,,,,
2007-11-26 ,0.638293860243442,,,,
2007-11-27 ,-0.283374802730919,,,,
2007-11-28 ,-0.366457000123453,,,,
2007-11-29 ,-0.759565986312078,,,,
2007-11-30 ,-0.310861989473527,,,,
2007-12-03 ,0.576150674200344,,,,
2007-12-04 ,-0.613326147591567,,,,
2007-12-05 ,-0.220372382175066,,,,
2007-12-06 ,-0.310856487562675,,,,
2007-12-07 ,1.20009446251875,,,,
2007-12-10 ,0.0308779243910218,,,,
2007-12-11 ,1.39013760746058,,,,
2007-12-12 ,-1.67828673630766,,,,
2007-12-13 ,-0.0702222411841995,,,,
2007-12-14 ,-0.0874461414638933,,,,
2007-12-17 ,-0.455200219442178,,,,
2007-12-18 ,0.830925636677695,,,,
2007-12-19 ,-0.142298332810031,,,,
2007-12-20 ,-0.325307672934717,,,,
2007-12-21 ,-1.35912103546203,,,,
2007-12-24 ,0.0879896613496715,,,,
2007-12-26 ,0.0683814352432075,,,,
2007-12-27 ,-0.214007980830277,,,,
2007-12-28 ,0.306169152236475,,,,
2007-12-31 ,-0.516993879611225,,,,
2008-01-02 ,0.172731701287374,,,,
2008-01-03 ,0.339049526895036,,,,
2008-01-04 ,-0.662868024353431,,,,
2008-01-07 ,0.0721635683953664,,,,
